,F1,F2,F3,F4,F5,F6,F7,F8,F9,F23,F22,F18,F20,F12,F13,F10,F11,F16,F17,F14,F15
F18,12.36931687685298,14.247806848775006,13.038404810405298,13.892443989449804,13.076696830622021,12.727922061357855,13.711309200802088,12.328828005937952,13.30413469565007,12.165525060596439,12.041594578792296,inf,12.449899597988733,13.114877048604,11.135528725660043,12.922847983320086,13.820274961085254,12.922847983320086,12.449899597988733,13.038404810405298,11.532562594670797
F20,12.328828005937952,13.114877048604,13.416407864998739,12.84523257866513,13.30413469565007,12.449899597988733,13.564659966250536,13.19090595827292,14.7648230602334,14.212670403551895,11.661903789690601,12.449899597988733,inf,14.071247279470288,11.704699910719626,12.884098726725126,13.19090595827292,12.489995996796797,12.68857754044952,13.45362404707371,12.884098726725126
F12,12.649110640673518,14.177446878757825,11.575836902790225,14.317821063276353,13.114877048604,12.449899597988733,13.228756555322953,13.30413469565007,13.30413469565007,13.19090595827292,12.409673645990857,13.114877048604,14.071247279470288,inf,8.366600265340756,13.114877048604,13.228756555322953,13.892443989449804,13.19090595827292,14.66287829861518,12.083045973594572
F13,11.445523142259598,13.416407864998739,12.0,13.601470508735444,11.313708498984761,10.908712114635714,11.575836902790225,11.180339887498949,12.529964086141668,12.884098726725126,11.40175425099138,11.135528725660043,11.704699910719626,8.366600265340756,inf,12.165525060596439,11.532562594670797,11.532562594670797,12.288205727444508,13.038404810405298,10.488088481701515
F10,12.206555615733702,13.038404810405298,12.206555615733702,12.165525060596439,12.449899597988733,11.74734012447073,12.449899597988733,11.61895003862225,11.704699910719626,12.0,11.224972160321824,12.922847983320086,12.884098726725126,13.114877048604,12.165525060596439,inf,12.206555615733702,13.416407864998739,12.609520212918492,12.84523257866513,11.313708498984761
F11,11.704699910719626,14.0,13.19090595827292,12.529964086141668,10.392304845413264,10.44030650891055,11.357816691600547,10.392304845413264,11.704699910719626,11.224972160321824,11.61895003862225,13.820274961085254,13.19090595827292,13.228756555322953,11.532562594670797,12.206555615733702,inf,13.30413469565007,12.727922061357855,11.832159566199232,10.954451150103322
F16,12.84523257866513,13.892443989449804,12.767145334803704,12.529964086141668,13.341664064126334,11.74734012447073,14.66287829861518,11.916375287812984,13.45362404707371,12.529964086141668,9.273618495495704,12.922847983320086,12.489995996796797,13.892443989449804,11.532562594670797,13.416407864998739,13.30413469565007,inf,14.071247279470288,14.212670403551895,10.862780491200215
F17,12.489995996796797,14.035668847618199,13.341664064126334,12.96148139681572,13.0,12.489995996796797,12.409673645990857,12.165525060596439,13.379088160259652,13.784048752090222,12.288205727444508,12.449899597988733,12.68857754044952,13.19090595827292,12.288205727444508,12.609520212918492,12.727922061357855,14.071247279470288,inf,12.84523257866513,11.958260743101398
F14,11.832159566199232,13.856406460551018,12.649110640673518,12.727922061357855,12.288205727444508,11.224972160321824,12.489995996796797,12.0,13.674794331177344,12.083045973594572,12.165525060596439,13.038404810405298,13.45362404707371,14.66287829861518,13.038404810405298,12.84523257866513,11.832159566199232,14.212670403551895,12.84523257866513,inf,10.295630140987
F15,10.295630140987,11.661903789690601,10.392304845413264,10.723805294763608,10.535653752852738,10.344080432788601,12.12435565298214,10.14889156509222,10.344080432788601,10.0,9.695359714832659,11.532562594670797,12.884098726725126,12.083045973594572,10.488088481701515,11.313708498984761,10.954451150103322,10.862780491200215,11.958260743101398,10.295630140987,inf
